,id,char,freq
505,505,텐,23
506,506,현,56
507,507,뛰,19
508,508,슈,13
509,509,점,90
510,510,망,19
511,511,V,31
512,512,칠,29
513,513,깄,4
514,514,움,39
515,515,흔,13
516,516,착,24
517,517,석,56
518,518,질,69
519,519,쉬,22
520,520,팔,32
521,521,댕,7
522,522,깜,6
523,523,랐,26
524,524,숨,26
525,525,픈,22
526,526,례,1
527,527,베,23
528,528,쌓,9
529,529,몰,39
530,530,효,23
531,531,헤,65
532,532,환,17
533,533,슬,48
534,534,펐,2
535,535,짐,9
536,536,찌,37
537,537,귀,85
538,538,맘,6
539,539,허,15
540,540,답,19
541,541,휴,26
542,542,폰,49
543,543,쳐,48
544,544,카,47
545,545,톡,12
546,546,냈,22
547,547,귄,13
548,548,럽,31
549,549,팀,4
550,550,넷,3
551,551,극,10
552,552,료,19
553,553,얌,3
554,554,항,101
555,555,틀,43
556,556,괴,7
557,557,독,38
558,558,씌,12
559,559,운,97
560,560,뽀,11
561,561,득,12
562,562,궁,16
563,563,논,11
564,564,놨,12
565,565,끄,16
566,566,꿔,9
567,567,병,68
568,568,뜨,31
569,569,씩,65
570,570,셋,6
571,571,먼,53
572,572,놈,10
573,573,돋,6
574,574,침,55
575,575,젓,3
576,576,쭈,3
577,577,염,8
578,578,렛,1
579,579,뒷,7
580,580,짧,10
581,581,포,29
582,582,츠,8
583,583,썹,2
584,584,싱,10
585,585,빼,21
586,586,뺐,2
587,587,촌,9
588,588,놓,59
589,589,겸,5
590,590,꽉,3
591,591,깥,5
592,592,둥,3
593,593,끌,12
594,594,뿌,2
595,595,뽑,25
596,596,함,19
597,597,8,24
598,598,껏,2
599,599,께,7
600,600,훨,7
601,601,씬,8
602,602,컥,18
603,603,샀,5
604,604,싸,50
605,605,값,1
606,606,봉,9
607,607,투,27
608,608,5,57
609,609,액,10
610,610,닐,26
611,611,순,62
612,612,캠,4
613,613,핑,7
614,614,즐,4
615,615,겁,11
616,616,눌,20
617,617,맙,12
618,618,긍,13
619,619,졸,17
620,620,퇴,7
621,621,블,8
622,622,뵙,1
623,623,둔,6
624,624,죄,12
625,625,쓴,3
626,626,곧,4
627,627,뵐,1
628,628,큰,35
629,629,징,12
630,630,육,30
631,631,낼,6
632,632,옷,30
633,633,림,19
634,634,샘,5
635,635,백,13
636,636,걔,142
637,637,댄,5
638,638,깊,11
639,639,혔,13
640,640,권,19
641,641,삼,17
642,642,빈,11
643,643,릎,3
644,644,쫌,4
645,645,뱉,3
646,646,떠,29
647,647,범,8
648,648,딸,6
649,649,쁜,16
650,650,쓱,2
651,651,쇼,15
652,652,담,25
653,653,셀,1
654,654,7,8
655,655,엎,4
656,656,탕,25
657,657,푼,1
658,658,욕,38
659,659,굔,2
660,660,쩔,17
661,661,섞,3
662,662,9,9
663,663,4,43
664,664,렀,9
665,665,땡,8
666,666,볕,1
667,667,딨,6
668,668,릇,14
669,669,썼,6
670,670,닮,16
671,671,넣,20
672,672,토,18
673,673,쳤,8
674,674,핸,30
675,675,꾸,28
676,676,띵,2
677,677,훔,2
678,678,갤,8
679,679,럭,12
680,680,빅,18
681,681,앤,4
682,682,똥,41
683,683,썸,10
684,684,쐈,1
685,685,뜸,2
686,686,태,44
687,687,션,13
688,688,툭,7
689,689,벅,1
690,690,섯,30
691,691,싹,12
692,692,찍,32
693,693,립,16
694,694,닭,4
695,695,낳,5
696,696,압,5
697,697,넓,3
698,698,널,13
699,699,얜,4
700,700,꽤,9
701,701,넌,22
702,702,덧,1
703,703,눕,3
704,704,깨,54
705,705,뚫,4
706,706,낫,6
707,707,튜,31
708,708,브,35
709,709,꺼,21
710,710,몽,27
711,711,페,24
712,712,북,7
713,713,랫,14
714,714,짓,23
715,715,찼,3
716,716,밴,2
717,717,낯,6
718,718,낀,16
719,719,잃,7
720,720,곳,9
721,721,폭,2
722,722,겪,13
723,723,춘,8
724,724,빴,3
725,725,풀,20
726,726,뀌,9
727,727,종,32
728,728,맥,6
729,729,밑,13
730,730,털,27
731,731,창,23
732,732,썩,4
733,733,겉,6
734,734,믿,13
735,735,쭉,9
736,736,악,19
737,737,곡,2
738,738,삭,6
739,739,킹,5
740,740,천,35
741,741,컨,8
742,742,봇,77
743,743,쓸,12
744,744,멸,5
745,745,쨌,17
746,746,왠,4
747,747,묵,3
