,id,char,freq
827,827,숨,12
828,828,4,29
829,829,꿀,5
830,830,슈,6
831,831,꾼,1
832,832,톡,18
833,833,총,3
834,834,엎,5
835,835,덮,1
836,836,측,2
837,837,벨,5
838,838,B,3
839,839,콜,2
840,840,릿,5
841,841,빌,16
842,842,쏜,1
843,843,휘,4
844,844,묘,3
845,845,랫,1
846,846,밉,1
847,847,옮,2
848,848,짚,2
849,849,몽,19
850,850,깼,2
851,851,꿈,30
852,852,꿨,4
853,853,괴,3
854,854,킥,3
855,855,빴,3
856,856,삐,6
857,857,얕,3
858,858,갸,2
859,859,믿,19
860,860,곳,12
861,861,썽,1
862,862,옥,3
863,863,므,1
864,864,뉘,1
865,865,쫓,5
866,866,돕,1
867,867,쌩,2
868,868,낙,6
869,869,뺌,1
870,870,읽,5
871,871,끽,4
872,872,쌍,9
873,873,P,2
874,874,앓,1
875,875,뒀,3
876,876,꽃,2
877,877,롯,2
878,878,뚤,1
879,879,맙,3
880,880,뒷,3
881,881,렀,7
882,882,왼,2
883,883,딪,6
884,884,낸,5
885,885,흐,19
886,886,곰,2
887,887,잉,2
888,888,캐,2
889,889,광,8
890,890,멜,2
891,891,즌,4
892,892,삭,4
893,893,뿡,2
894,894,빡,8
895,895,뀐,1
896,896,좁,4
897,897,캔,1
898,898,S,3
899,899,R,4
900,900,녜,5
901,901,읍,9
902,902,퇴,6
903,903,낭,1
904,904,템,1
905,905,쇠,1
906,906,칵,1
907,907,월,19
908,908,쓱,2
909,909,끈,5
910,910,쥐,3
911,911,멈,5
912,912,냬,2
913,913,웰,1
914,914,꼼,1
915,915,밟,1
916,916,튀,2
917,917,탄,4
918,918,헷,3
919,919,꽤,2
920,920,땀,3
921,921,킨,8
922,922,앤,4
923,923,델,1
924,924,깊,7
925,925,극,8
926,926,돋,6
927,927,뭉,6
928,928,꽉,5
929,929,깥,3
930,930,냅,3
931,931,캉,1
932,932,냄,8
933,933,끊,5
934,934,잣,4
935,935,몫,2
936,936,곁,2
937,937,J,1
938,938,쩡,2
939,939,즐,7
940,940,켰,3
941,941,얻,5
942,942,묵,5
943,943,쉴,1
944,944,긋,2
945,945,씁,1
946,946,헴,1
947,947,닥,12
948,948,층,13
949,949,젝,1
950,950,흠,1
951,951,둡,2
952,952,갓,6
953,953,칸,1
954,954,걍,1
955,955,롱,3
956,956,뜻,2
957,957,뺨,1
958,958,푸,6
959,959,횡,1
960,960,뷰,1
961,961,갚,5
962,962,룡,1
963,963,돗,1
964,964,쩍,4
965,965,씻,6
966,966,헣,1
967,967,쩝,1
968,968,촉,4
969,969,빛,4
970,970,엑,1
971,971,쟨,1
972,972,덟,2
973,973,걷,2
974,974,쪘,1
975,975,귈,2
976,976,뜬,2
977,977,9,5
978,978,꺾,1
979,979,캠,1
980,980,슥,1
